Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,ID,cluster_assign,state,country,locality,latitude,longitude,dewlap_group,plot_order
1,0,0,0,0,0,MTR36540,Cluster_1,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,80
1,0,0,0,0,0,MTR36731,Cluster_1,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,78
0.88,0,0.04,0,0,0.07,MTR36732,Cluster_1,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,83
1,0,0,0,0,0,MTR36746,Cluster_1,AM,Brazil,Rio_Ica_Sao_Pedro,-3.0286,-68.8826,G,77
0.92,0,0,0,0,0.08,MTR36819,Cluster_1,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,49
1,0,0,0,0,0,MTR36859,Cluster_1,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,50
0.99,0,0,0,0,0.01,MTR36879,Cluster_1,AM,Brazil,Fonte_Boa,-2.528,-66.162,Y,51
1,0,0,0,0,0,MTR36939,Cluster_1,AM,Brazil,Tefe,-3.449,-64.6831,Y,53
0.93,0,0,0,0,0.06,MTR36940,Cluster_1,AM,Brazil,Tefe,-3.449,-64.6831,Y,52
0.97,0,0,0,0,0.02,MTR36941,Cluster_1,AM,Brazil,Tefe,-3.449,-64.6831,Y,55
0.97,0,0.02,0,0,0.01,MTR36942,Cluster_1,AM,Brazil,Tefe,-3.449,-64.6831,Y,54
1,0,0,0,0,0,MTR36971,Cluster_1,AM,Brazil,Coari,-4.0868,-63.0968,P,61
0.93,0,0.03,0,0,0.03,MTR37027,Cluster_1,AM,Brazil,Coari,-4.0868,-63.0968,P,60
0,1,0,0,0,0,MTR37287,Cluster_2,ES,Brazil,Santa_Teresa,-19.9654,-40.531,Y,32
0,0.01,0,0,0.99,0,MTR40119,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,6
0,0,0.02,0,0.95,0.03,MTR40374,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,4
0,0,0,0,1,0,MTR40382,Cluster_5,AM,Brazil,Maturaca,0.6251,-66.1329,P,5
0.99,0,0,0.01,0,0,MTR40847,Cluster_1,AM,Brazil,Cacauali,-1.4325,-61.8267,G,48
1,0,0,0,0,0,MTR40904,Cluster_1,AM,Brazil,Cacauali,-1.4325,-61.8267,G,46
1,0,0,0,0,0,MTR40906,Cluster_1,AM,Brazil,Cacauali,-1.4325,-61.8267,G,44
1,0,0,0,0,0,MTR40916,Cluster_1,AM,Brazil,Cacauali,-1.4325,-61.8267,G,45
0,0,0,0,1,0,MTR41431,Cluster_5,AM,Brazil,Rio_Inhambu,-0.2334,-65.4168,U,7
0,0,0,0,1,0,MTR41440,Cluster_5,AM,Brazil,Rio_Inhambu,-0.2334,-65.4168,U,8
1,0,0,0,0,0,MTR41563,Cluster_1,AM,Brazil,Cacauali,-1.4325,-61.8267,G,47
0.65,0.01,0.02,0.27,0.03,0,MTR967911,Cluster_1,MT,Brazil,Aripuana,-9.8603,-60.2631,U,68
0,0,0,1,0,0,MTR977706,Cluster_4,MT,Brazil,Aripuana,-9.8603,-60.2631,U,148
0,1,0,0,0,0,PEU488,Cluster_2,BA,Brazil,Ilheus,-14.7972,-39.0344,U,26
0,0,1,0,0,0,PRMS498,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,131
0,0,1,0,0,0,PRMS499,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,125
0,0,1,0,0,0,PRMS501,Cluster_3,AC,Brazil,Senador_Guiomard_Fazenda_Experimental_Catuaba,-10.0834,-67.6278,P,126
0,0,1,0,0,0,PRMS525,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,138
0,0,1,0,0,0,PRMS528,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,137
0,0,1,0,0,0,PRMS530,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,140
0,0,1,0,0,0,PRMS538,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,139
0,0,1,0,0,0,PRMS539,Cluster_3,AC,Brazil,Porto_Acre_Reserva_Florestal_Humaita,-9.7445,-67.6784,Y,141
0,0,1,0,0,0,PRMS587,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,135
0,0,1,0,0,0,PRMS588,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,134
0,0,1,0,0,0,PRMS589,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,136
0,0,1,0,0,0,PRMS590,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,133
0,0,1,0,0,0,PRMS700,Cluster_3,AC,Brazil,Rio_Branco_Parque_Zoobotanico,-9.9561,-67.8725,Y,132
0,0,0,0,0,1,PRMS734,Cluster_6,AC,Brazil,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,G,101
0,0,0,0,0,1,PRMS751,Cluster_6,AC,Brazil,Mancio_Lima_Estrada_do_Lixao,-7.6813,-72.9688,G,102
0,0,0,0,0,1,PRMS766,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,104
0,0,0,0,0,1,PRMS767,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,106
0,0,0,0,0,1,PRMS768,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,105
0,0,0.08,0,0,0.92,PRMS769,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Vila_de_Sao_Pedro,-7.7014,-72.7413,G,103
0,0,0,0,0,1,PRMS795,Cluster_6,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,108
0,0,0,0.05,0,0.95,PRMS796,Cluster_6,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,110
0,0,0,0,0,1,PRMS799,Cluster_6,AC,Brazil,Mancio_Lima_Estrada_BR307_limite_Acre_Amazonas,-7.3857,-73.0627,G,107
0,0,0,0,0,1,PRMS845,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,100
0,0,0,0,0,1,PRMS852,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,98
0,0,0,0,0,1,PRMS859,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,97
0,0,0,0,0,1,PRMS860,Cluster_6,AC,Brazil,Cruzeiro_do_Sul_Programa_de_Assentamento_Dirigido_Santa_Luzia,-7.8639,-72.417,P,99
0.63,0.01,0.04,0,0.1,0.22,RF23,Cluster_1,AM,Brazil,Silves,-2.8308,-58.2154,U,43
1,0,0,0,0,0,RF73,Cluster_1,AM,Brazil,Itapiranga,-2.7434,-58.1763,U,67
0,0,0,1,0,0,SMS473,Cluster_4,PA,Brazil,Itaituba_FLONA_do_Trairao_Ramal_do_80,-4.5251,-55.2401,U,149
0.31,0.27,0,0,0.42,0.01,SMS608,Cluster_5,AM,Brazil,Sao_Sebastiao_dos_Bargas,-3.7894,-59.034,U,3
0,0,0,0,1,0,SMS941,Cluster_5,RR,Brazil,Iracema_Serra_do_Apiau,2.4334,-61.4138,U,12
0,0,0,0,1,0,SMS963,Cluster_5,RR,Brazil,Iracema_Serra_do_Apiau,2.4334,-61.4138,U,13
